iter	RMSE
0	38.4486272
1	38.24552557
2	38.04727544
3	37.8427656
4	37.64211443
5	37.48487345
6	37.29270291
7	37.10317268
8	36.89953769
9	36.7138088
10	36.54194545
11	36.3853652
12	36.19720892
13	36.02312905
14	35.8598056
15	35.68633293
16	35.52555239
17	35.35094831
18	35.19476892
19	35.0356411
20	34.87318087
21	34.7189267
22	34.55343707
23	34.39431342
24	34.23279522
25	34.08989634
26	33.93066103
27	33.77607039
28	33.62088524
29	33.47296698
30	33.32375823
31	33.17234836
32	33.05755121
33	32.91241011
34	32.78691735
35	32.65180671
36	32.50944514
37	32.37015221
38	32.23893143
39	32.11090409
40	31.9799744
41	31.86433648
42	31.73277398
43	31.61218775
44	31.49313014
45	31.37797795
46	31.25376756
47	31.1499015
48	31.0334927
49	30.92741858
50	30.82529051
51	30.723973
52	30.60280813
53	30.48681531
54	30.37327715
55	30.26353652
56	30.16265406
57	30.056128
58	29.94927406
59	29.84354065
60	29.73714634
61	29.64514008
62	29.5469042
63	29.45431807
64	29.36077489
65	29.26834554
66	29.19679318
67	29.10730016
68	29.01590434
69	28.92787636
70	28.83528133
71	28.74176319
72	28.6517872
73	28.56268745
74	28.46737445
75	28.40236421
76	28.32412297
77	28.23747829
78	28.15546537
79	28.08148067
80	28.00464424
81	27.93952221
82	27.85918862
83	27.78276601
84	27.71892973
85	27.64527769
86	27.56727387
87	27.49033488
88	27.42526465
89	27.35527114
90	27.28810895
91	27.21655304
92	27.14673827
93	27.07844613
94	27.01439712
95	26.95817609
96	26.89634523
97	26.82820477
98	26.75795901
99	26.69407896
100	26.62793424
101	26.563415
102	26.50506733
103	26.44116847
104	26.3763053
105	26.30761551
106	26.25581501
107	26.19175182
108	26.12662102
109	26.06761165
110	26.010738
111	25.95937603
112	25.89790633
113	25.83848478
114	25.78253192
115	25.72452951
116	25.66883905
117	25.61643335
118	25.57285894
119	25.5273602
120	25.48006326
121	25.43290428
122	25.37939988
123	25.33501856
124	25.28791125
125	25.23880516
126	25.19335639
127	25.1489866
128	25.10552144
129	25.05917208
130	25.01364361
131	24.96113569
132	24.91450191
133	24.86566099
134	24.8192691
135	24.77503044
136	24.72488233
137	24.68272608
138	24.63796764
139	24.59191163
140	24.55495237
141	24.5223879
142	24.47331178
143	24.43236129
144	24.38828878
145	24.3416926
146	24.29462323
147	24.251685
148	24.21267664
149	24.17291602
150	24.14348737
